time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1551426575.178764,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.178779,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.179741,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.179754,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.179768,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.179773,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.179776,6,1409,95.100.244.88,192.168.1.149,443,42420
1551426575.204208,6,1448,95.100.244.88,192.168.1.149,443,42418
1551426575.204593,6,1448,95.100.244.88,192.168.1.149,443,42418
1551426575.2046,6,1448,95.100.244.88,192.168.1.149,443,42418
1551426575.205246,6,1448,95.100.244.88,192.168.1.149,443,42418
1551426575.20525,6,1448,95.100.244.88,192.168.1.149,443,42418
1551426575.205253,6,1448,95.100.244.88,192.168.1.149,443,42418
1551426575.205736,6,1448,95.100.244.88,192.168.1.149,443,42418
1551426575.205742,6,1448,95.100.244.88,192.168.1.149,443,42418
1551426575.205744,6,1448,95.100.244.88,192.168.1.149,443,42418
1551426575.205747,6,1448,95.100.244.88,192.168.1.149,443,42418
1551426575.20575,6,1448,95.100.244.88,192.168.1.149,443,42418
1551426575.205859,6,485,95.100.244.88,192.168.1.149,443,42418
1551426575.206199,6,1448,95.100.244.88,192.168.1.149,443,42418
1551426575.206206,6,1448,95.100.244.88,192.168.1.149,443,42418
1551426575.206209,6,384,95.100.244.88,192.168.1.149,443,42418
1551426575.206223,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.206229,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.206848,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.206854,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.206874,6,1311,95.100.244.88,192.168.1.149,443,42426
1551426575.207644,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.207657,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.207669,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.207674,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.207678,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.207683,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.208451,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.208459,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.208473,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.208481,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.208485,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.209099,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.209104,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.209106,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.209118,6,1448,95.100.244.88,192.168.1.149,443,42426
1551426575.209121,6,188,95.100.244.88,192.168.1.149,443,42426
1551426575.213365,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.213524,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.21404,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.21411,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.214483,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.2145,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.21451,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.21452,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.21527,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.215352,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.215381,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.215397,6,485,95.100.244.88,192.168.1.149,443,42420
1551426575.215897,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.215962,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.215982,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.216022,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.216033,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.216046,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.216056,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.21666,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.216704,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.216739,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.216746,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.216758,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.217582,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.217606,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.217623,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.217632,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.217637,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.217645,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.218532,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.218557,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.218575,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.218585,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.218593,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.218602,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.218606,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.218614,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.219656,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.219706,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.219712,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.219722,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.219727,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.219738,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.219742,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.220886,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.220893,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.220904,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.220907,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.220913,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.220916,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.22092,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.221023,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.22103,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.221959,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.221969,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.221982,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.221987,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.221989,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.221995,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.221998,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.222003,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.222005,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.222007,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.22201,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.223537,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.223541,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.223553,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.223556,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.223559,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.223562,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.223564,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.224248,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.224253,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.224256,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.224268,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.22427,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.224413,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.232293,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.233084,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.233131,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.233162,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.233176,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.23319,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.233199,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.233232,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.233254,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.233265,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.233274,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.233514,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.233523,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.234336,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.234351,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.234357,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.234361,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.235031,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.235044,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.235054,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.235059,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.235063,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.235067,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.235833,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.235847,6,1071,95.100.244.88,192.168.1.149,443,42420
1551426575.254961,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.255074,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.255448,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.255461,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.255878,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.255896,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.255901,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.257359,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.257482,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.257489,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.259494,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.260026,6,485,95.100.244.88,192.168.1.149,443,42420
1551426575.260051,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.260056,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.260067,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.260077,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.260084,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.260346,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.260405,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.260426,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.260431,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.260439,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.260448,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.260454,6,485,95.100.244.88,192.168.1.149,443,42420
1551426575.260458,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.261795,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.26181,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.261816,6,1448,95.100.244.88,192.168.1.149,443,42420
1551426575.26182,6,1448,95.100.244.88,192.168.1.149,443,42420
