packet_id,time,proto,data_len,ip_src,ip_dst,src_port,dst_port
18682,1551434203.291863,6,1448,130.206.193.108,192.168.1.149,443,41572
18683,1551434203.291875,6,1448,130.206.193.108,192.168.1.149,443,41572
18684,1551434203.291883,6,1448,130.206.193.108,192.168.1.149,443,41572
18685,1551434203.291889,6,1448,130.206.193.108,192.168.1.149,443,41572
18686,1551434203.291901,6,1448,130.206.193.108,192.168.1.149,443,41572
18687,1551434203.291912,6,1448,130.206.193.108,192.168.1.149,443,41572
18688,1551434203.29229,6,1276,130.206.193.108,192.168.1.149,443,41572
18689,1551434203.292313,6,1448,130.206.193.108,192.168.1.149,443,41572
18690,1551434203.292324,6,1448,130.206.193.108,192.168.1.149,443,41572
18691,1551434203.292333,6,1448,130.206.193.108,192.168.1.149,443,41572
18692,1551434203.292344,6,1448,130.206.193.108,192.168.1.149,443,41572
18693,1551434203.293053,6,1448,130.206.193.108,192.168.1.149,443,41572
18694,1551434203.293082,6,1448,130.206.193.108,192.168.1.149,443,41572
18695,1551434203.293103,6,1448,130.206.193.108,192.168.1.149,443,41572
18696,1551434203.293117,6,1448,130.206.193.108,192.168.1.149,443,41572
18697,1551434203.293132,6,1448,130.206.193.108,192.168.1.149,443,41572
18698,1551434203.293144,6,1448,130.206.193.108,192.168.1.149,443,41572
18699,1551434203.293158,6,1448,130.206.193.108,192.168.1.149,443,41572
18700,1551434203.293169,6,1448,130.206.193.108,192.168.1.149,443,41572
18701,1551434203.293184,6,1448,130.206.193.108,192.168.1.149,443,41572
18702,1551434203.294052,6,1448,130.206.193.108,192.168.1.149,443,41572
18703,1551434203.294078,6,1448,130.206.193.108,192.168.1.149,443,41572
18704,1551434203.294093,6,1448,130.206.193.108,192.168.1.149,443,41572
18705,1551434203.294104,6,1448,130.206.193.108,192.168.1.149,443,41572
18706,1551434203.294116,6,1448,130.206.193.108,192.168.1.149,443,41572
18707,1551434203.294127,6,1448,130.206.193.108,192.168.1.149,443,41572
18708,1551434203.294554,6,1448,130.206.193.108,192.168.1.149,443,41572
18709,1551434203.294605,6,1448,130.206.193.108,192.168.1.149,443,41572
18710,1551434203.294621,6,1448,130.206.193.108,192.168.1.149,443,41572
18711,1551434203.294633,6,1448,130.206.193.108,192.168.1.149,443,41572
18712,1551434203.294868,6,664,130.206.193.108,192.168.1.149,443,41572
18713,1551434203.294887,6,1448,130.206.193.108,192.168.1.149,443,41572
18714,1551434203.294901,6,1448,130.206.193.108,192.168.1.149,443,41572
18715,1551434203.294913,6,1448,130.206.193.108,192.168.1.149,443,41572
18716,1551434203.294924,6,1448,130.206.193.108,192.168.1.149,443,41572
18717,1551434203.295828,6,1448,130.206.193.108,192.168.1.149,443,41572
18718,1551434203.295841,6,1448,130.206.193.108,192.168.1.149,443,41572
18719,1551434203.295849,6,1448,130.206.193.108,192.168.1.149,443,41572
18720,1551434203.295855,6,1448,130.206.193.108,192.168.1.149,443,41572
18721,1551434203.295865,6,1448,130.206.193.108,192.168.1.149,443,41572
18722,1551434203.295877,6,1448,130.206.193.108,192.168.1.149,443,41572
18723,1551434203.296696,6,1448,130.206.193.108,192.168.1.149,443,41572
18724,1551434203.296708,6,1448,130.206.193.108,192.168.1.149,443,41572
18725,1551434203.296715,6,1448,130.206.193.108,192.168.1.149,443,41572
18726,1551434203.296722,6,1448,130.206.193.108,192.168.1.149,443,41572
18727,1551434203.296728,6,1448,130.206.193.108,192.168.1.149,443,41572
18728,1551434203.296736,6,1448,130.206.193.108,192.168.1.149,443,41572
18729,1551434203.296742,6,1448,130.206.193.108,192.168.1.149,443,41572
18730,1551434203.296749,6,1448,130.206.193.108,192.168.1.149,443,41572
18731,1551434203.297686,6,1448,130.206.193.108,192.168.1.149,443,41572
18732,1551434203.297705,6,1448,130.206.193.108,192.168.1.149,443,41572
18733,1551434203.297718,6,1028,130.206.193.108,192.168.1.149,443,41572
18734,1551434203.297738,6,1448,130.206.193.108,192.168.1.149,443,41572
18735,1551434203.297755,6,1448,130.206.193.108,192.168.1.149,443,41572
18736,1551434203.297769,6,1448,130.206.193.108,192.168.1.149,443,41572
18737,1551434203.297778,6,1448,130.206.193.108,192.168.1.149,443,41572
18738,1551434203.297787,6,1448,130.206.193.108,192.168.1.149,443,41572
18739,1551434203.298724,6,1448,130.206.193.108,192.168.1.149,443,41572
18740,1551434203.298741,6,1448,130.206.193.108,192.168.1.149,443,41572
18741,1551434203.298752,6,1448,130.206.193.108,192.168.1.149,443,41572
18742,1551434203.298761,6,1448,130.206.193.108,192.168.1.149,443,41572
18743,1551434203.29877,6,1448,130.206.193.108,192.168.1.149,443,41572
18744,1551434203.29878,6,1448,130.206.193.108,192.168.1.149,443,41572
18745,1551434203.298788,6,1448,130.206.193.108,192.168.1.149,443,41572
18746,1551434203.298797,6,1448,130.206.193.108,192.168.1.149,443,41572
18747,1551434203.299387,6,1448,130.206.193.108,192.168.1.149,443,41572
18748,1551434203.299407,6,1448,130.206.193.108,192.168.1.149,443,41572
18749,1551434203.299417,6,1448,130.206.193.108,192.168.1.149,443,41572
18750,1551434203.299426,6,1448,130.206.193.108,192.168.1.149,443,41572
18751,1551434203.29952,6,1448,130.206.193.108,192.168.1.149,443,41572
18752,1551434203.299541,6,1448,130.206.193.108,192.168.1.149,443,41572
18753,1551434203.299555,6,1448,130.206.193.108,192.168.1.149,443,41572
18754,1551434203.299567,6,1448,130.206.193.108,192.168.1.149,443,41572
18755,1551434203.300295,6,1448,130.206.193.108,192.168.1.149,443,41572
18756,1551434203.300313,6,1448,130.206.193.108,192.168.1.149,443,41572
18757,1551434203.300324,6,664,130.206.193.108,192.168.1.149,443,41572
18758,1551434203.300333,6,1448,130.206.193.108,192.168.1.149,443,41572
18759,1551434203.300341,6,1448,130.206.193.108,192.168.1.149,443,41572
18760,1551434203.30035,6,1448,130.206.193.108,192.168.1.149,443,41572
18761,1551434203.300363,6,1448,130.206.193.108,192.168.1.149,443,41572
18762,1551434203.301246,6,1448,130.206.193.108,192.168.1.149,443,41572
18763,1551434203.301262,6,1448,130.206.193.108,192.168.1.149,443,41572
18764,1551434203.301272,6,1448,130.206.193.108,192.168.1.149,443,41572
18765,1551434203.301281,6,1448,130.206.193.108,192.168.1.149,443,41572
18766,1551434203.30129,6,1448,130.206.193.108,192.168.1.149,443,41572
18767,1551434203.301299,6,1448,130.206.193.108,192.168.1.149,443,41572
18768,1551434203.302133,6,1448,130.206.193.108,192.168.1.149,443,41572
18769,1551434203.302148,6,1448,130.206.193.108,192.168.1.149,443,41572
18770,1551434203.302159,6,1448,130.206.193.108,192.168.1.149,443,41572
18771,1551434203.302168,6,1448,130.206.193.108,192.168.1.149,443,41572
18772,1551434203.302177,6,1448,130.206.193.108,192.168.1.149,443,41572
18773,1551434203.302189,6,1448,130.206.193.108,192.168.1.149,443,41572
18774,1551434203.302199,6,1448,130.206.193.108,192.168.1.149,443,41572
18775,1551434203.302208,6,1448,130.206.193.108,192.168.1.149,443,41572
18776,1551434203.302943,6,1448,130.206.193.108,192.168.1.149,443,41572
18777,1551434203.302959,6,1448,130.206.193.108,192.168.1.149,443,41572
18778,1551434203.302969,6,1448,130.206.193.108,192.168.1.149,443,41572
18779,1551434203.302978,6,1448,130.206.193.108,192.168.1.149,443,41572
18780,1551434203.302988,6,1448,130.206.193.108,192.168.1.149,443,41572
18781,1551434203.302997,6,1448,130.206.193.108,192.168.1.149,443,41572
18782,1551434203.303006,6,1448,130.206.193.108,192.168.1.149,443,41572
18783,1551434203.303925,6,1448,130.206.193.108,192.168.1.149,443,41572
18784,1551434203.303941,6,1448,130.206.193.108,192.168.1.149,443,41572
18785,1551434203.303951,6,1448,130.206.193.108,192.168.1.149,443,41572
18786,1551434203.30396,6,1448,130.206.193.108,192.168.1.149,443,41572
18787,1551434203.303972,6,1448,130.206.193.108,192.168.1.149,443,41572
18788,1551434203.303989,6,1448,130.206.193.108,192.168.1.149,443,41572
18789,1551434203.304,6,1448,130.206.193.108,192.168.1.149,443,41572
18790,1551434203.304338,6,1448,130.206.193.108,192.168.1.149,443,41572
18791,1551434203.304362,6,1448,130.206.193.108,192.168.1.149,443,41572
18792,1551434203.304379,6,1448,130.206.193.108,192.168.1.149,443,41572
18793,1551434203.306499,6,664,130.206.193.108,192.168.1.149,443,41572
18794,1551434203.30653,6,1448,130.206.193.108,192.168.1.149,443,41572
18795,1551434203.306541,6,1448,130.206.193.108,192.168.1.149,443,41572
18796,1551434203.306551,6,1448,130.206.193.108,192.168.1.149,443,41572
18797,1551434203.30656,6,1448,130.206.193.108,192.168.1.149,443,41572
18798,1551434203.307953,6,1448,130.206.193.108,192.168.1.149,443,41572
18799,1551434203.308032,6,1448,130.206.193.108,192.168.1.149,443,41572
18800,1551434203.308068,6,1448,130.206.193.108,192.168.1.149,443,41572
18801,1551434203.308091,6,1448,130.206.193.108,192.168.1.149,443,41572
18802,1551434203.308109,6,1448,130.206.193.108,192.168.1.149,443,41572
18803,1551434203.308124,6,1448,130.206.193.108,192.168.1.149,443,41572
18804,1551434203.308139,6,1448,130.206.193.108,192.168.1.149,443,41572
18805,1551434203.308155,6,1448,130.206.193.108,192.168.1.149,443,41572
18806,1551434203.308169,6,1448,130.206.193.108,192.168.1.149,443,41572
18807,1551434203.308187,6,1448,130.206.193.108,192.168.1.149,443,41572
18808,1551434203.3082,6,1448,130.206.193.108,192.168.1.149,443,41572
18809,1551434203.308216,6,1448,130.206.193.108,192.168.1.149,443,41572
18810,1551434203.308234,6,1448,130.206.193.108,192.168.1.149,443,41572
18811,1551434203.308246,6,1448,130.206.193.108,192.168.1.149,443,41572
18812,1551434203.308263,6,1448,130.206.193.108,192.168.1.149,443,41572
18813,1551434203.308286,6,1448,130.206.193.108,192.168.1.149,443,41572
18814,1551434203.3083,6,1448,130.206.193.108,192.168.1.149,443,41572
18815,1551434203.30832,6,1028,130.206.193.108,192.168.1.149,443,41572
18816,1551434203.308338,6,1448,130.206.193.108,192.168.1.149,443,41572
18817,1551434203.308355,6,1448,130.206.193.108,192.168.1.149,443,41572
18818,1551434203.308372,6,1448,130.206.193.108,192.168.1.149,443,41572
18819,1551434203.308431,6,1448,130.206.193.108,192.168.1.149,443,41572
18820,1551434203.308958,6,1448,130.206.193.108,192.168.1.149,443,41572
18821,1551434203.308979,6,1448,130.206.193.108,192.168.1.149,443,41572
18822,1551434203.308992,6,1448,130.206.193.108,192.168.1.149,443,41572
18823,1551434203.309001,6,1448,130.206.193.108,192.168.1.149,443,41572
18824,1551434203.309014,6,1448,130.206.193.108,192.168.1.149,443,41572
18825,1551434203.309023,6,1448,130.206.193.108,192.168.1.149,443,41572
18826,1551434203.309033,6,1448,130.206.193.108,192.168.1.149,443,41572
18827,1551434203.309048,6,1448,130.206.193.108,192.168.1.149,443,41572
18828,1551434203.309061,6,1448,130.206.193.108,192.168.1.149,443,41572
18829,1551434203.309077,6,1448,130.206.193.108,192.168.1.149,443,41572
18830,1551434203.309093,6,1448,130.206.193.108,192.168.1.149,443,41572
18831,1551434203.31005,6,1448,130.206.193.108,192.168.1.149,443,41572
18832,1551434203.310081,6,1448,130.206.193.108,192.168.1.149,443,41572
18833,1551434203.310092,6,1448,130.206.193.108,192.168.1.149,443,41572
18834,1551434203.310101,6,1448,130.206.193.108,192.168.1.149,443,41572
18835,1551434203.31011,6,664,130.206.193.108,192.168.1.149,443,41572
18836,1551434203.31012,6,1448,130.206.193.108,192.168.1.149,443,41572
18837,1551434203.310129,6,1448,130.206.193.108,192.168.1.149,443,41572
18838,1551434203.310139,6,1448,130.206.193.108,192.168.1.149,443,41572
18839,1551434203.310147,6,1448,130.206.193.108,192.168.1.149,443,41572
18840,1551434203.311161,6,1448,130.206.193.108,192.168.1.149,443,41572
18841,1551434203.31119,6,1448,130.206.193.108,192.168.1.149,443,41572
18842,1551434203.3112,6,1448,130.206.193.108,192.168.1.149,443,41572
18843,1551434203.311224,6,1448,130.206.193.108,192.168.1.149,443,41572
18844,1551434203.311248,6,1448,130.206.193.108,192.168.1.149,443,41572
18845,1551434203.311266,6,1448,130.206.193.108,192.168.1.149,443,41572
18846,1551434203.311284,6,1448,130.206.193.108,192.168.1.149,443,41572
18847,1551434203.311291,6,1448,130.206.193.108,192.168.1.149,443,41572
18848,1551434203.311296,6,1448,130.206.193.108,192.168.1.149,443,41572
18849,1551434203.311826,6,1448,130.206.193.108,192.168.1.149,443,41572
18850,1551434203.311875,6,1448,130.206.193.108,192.168.1.149,443,41572
18851,1551434203.311906,6,1448,130.206.193.108,192.168.1.149,443,41572
18852,1551434203.311933,6,1448,130.206.193.108,192.168.1.149,443,41572
18853,1551434203.311962,6,1448,130.206.193.108,192.168.1.149,443,41572
18854,1551434203.312002,6,1448,130.206.193.108,192.168.1.149,443,41572
18855,1551434203.31203,6,1448,130.206.193.108,192.168.1.149,443,41572
18856,1551434203.312082,6,1276,130.206.193.108,192.168.1.149,443,41572
18857,1551434203.312126,6,1448,130.206.193.108,192.168.1.149,443,41572
18858,1551434203.313185,6,1448,130.206.193.108,192.168.1.149,443,41572
18859,1551434203.313279,6,1448,130.206.193.108,192.168.1.149,443,41572
18860,1551434203.313293,6,1448,130.206.193.108,192.168.1.149,443,41572
18861,1551434203.313303,6,1448,130.206.193.108,192.168.1.149,443,41572
18862,1551434203.313312,6,1448,130.206.193.108,192.168.1.149,443,41572
18863,1551434203.313324,6,1448,130.206.193.108,192.168.1.149,443,41572
18864,1551434203.313333,6,1448,130.206.193.108,192.168.1.149,443,41572
18865,1551434203.313903,6,1448,130.206.193.108,192.168.1.149,443,41572
18866,1551434203.313973,6,1448,130.206.193.108,192.168.1.149,443,41572
18867,1551434203.313996,6,1448,130.206.193.108,192.168.1.149,443,41572
18868,1551434203.314024,6,1448,130.206.193.108,192.168.1.149,443,41572
18869,1551434203.31404,6,1448,130.206.193.108,192.168.1.149,443,41572
18870,1551434203.31407,6,1448,130.206.193.108,192.168.1.149,443,41572
18871,1551434203.314091,6,1448,130.206.193.108,192.168.1.149,443,41572
18872,1551434203.314109,6,1448,130.206.193.108,192.168.1.149,443,41572
18873,1551434203.314124,6,1448,130.206.193.108,192.168.1.149,443,41572
18874,1551434203.314739,6,1448,130.206.193.108,192.168.1.149,443,41572
18875,1551434203.314761,6,1448,130.206.193.108,192.168.1.149,443,41572
18876,1551434203.31478,6,1448,130.206.193.108,192.168.1.149,443,41572
