packet_id,time,proto,data_len,ip_src,ip_dst,src_port,dst_port
206,1554879163.77815,6,38,145.142.25.160,192.168.1.149,443,40880
207,1554879163.779171,6,46,145.142.25.160,192.168.1.149,443,40880
208,1554879163.779337,6,46,192.168.1.149,145.142.25.160,40880,443
209,1554879163.888084,6,215,192.168.1.149,145.142.25.160,40880,443
210,1554879163.952174,6,81,145.142.25.160,192.168.1.149,443,40880
211,1554879163.953151,6,189,145.142.25.160,192.168.1.149,443,40880
212,1554879163.953176,6,39,145.142.25.160,192.168.1.149,443,40880
213,1554879163.953836,6,38,145.142.25.160,192.168.1.149,443,40880
214,1554879163.953938,6,46,145.142.25.160,192.168.1.149,443,40880
215,1554879163.954065,6,46,192.168.1.149,145.142.25.160,40880,443
216,1554879163.999189,6,216,192.168.1.149,145.142.25.160,40880,443
217,1554879164.059638,6,81,145.142.25.160,192.168.1.149,443,40880
218,1554879164.05967,6,188,145.142.25.160,192.168.1.149,443,40880
219,1554879164.059907,6,39,145.142.25.160,192.168.1.149,443,40880
220,1554879164.060001,6,38,145.142.25.160,192.168.1.149,443,40880
221,1554879164.060264,6,46,145.142.25.160,192.168.1.149,443,40880
222,1554879164.060425,6,46,192.168.1.149,145.142.25.160,40880,443
223,1554879164.158924,6,217,192.168.1.149,145.142.25.160,40880,443
224,1554879164.212428,6,103,145.142.25.160,192.168.1.149,443,40880
225,1554879164.212615,6,188,145.142.25.160,192.168.1.149,443,40880
226,1554879164.212722,6,39,145.142.25.160,192.168.1.149,443,40880
227,1554879164.212727,6,38,145.142.25.160,192.168.1.149,443,40880
228,1554879164.21273,6,46,145.142.25.160,192.168.1.149,443,40880
229,1554879164.212836,6,46,192.168.1.149,145.142.25.160,40880,443
230,1554879165.051276,6,255,192.168.1.149,145.142.25.160,40880,443
231,1554879165.148774,6,156,145.142.25.160,192.168.1.149,443,40880
232,1554879165.148814,6,1418,145.142.25.160,192.168.1.149,443,40880
233,1554879165.149366,6,1418,145.142.25.160,192.168.1.149,443,40880
234,1554879165.14939,6,1418,145.142.25.160,192.168.1.149,443,40880
235,1554879165.149398,6,1418,145.142.25.160,192.168.1.149,443,40880
236,1554879165.149403,6,1215,145.142.25.160,192.168.1.149,443,40880
237,1554879165.149411,6,122,145.142.25.160,192.168.1.149,443,40880
238,1554879165.166975,6,1418,145.142.25.160,192.168.1.149,443,40880
239,1554879165.167327,6,1418,145.142.25.160,192.168.1.149,443,40880
240,1554879165.167741,6,1418,145.142.25.160,192.168.1.149,443,40880
241,1554879165.167779,6,1418,145.142.25.160,192.168.1.149,443,40880
242,1554879165.16779,6,1418,145.142.25.160,192.168.1.149,443,40880
243,1554879165.167795,6,1418,145.142.25.160,192.168.1.149,443,40880
244,1554879165.168109,6,1418,145.142.25.160,192.168.1.149,443,40880
245,1554879165.168114,6,1418,145.142.25.160,192.168.1.149,443,40880
246,1554879165.168118,6,1418,145.142.25.160,192.168.1.149,443,40880
247,1554879165.168738,6,1418,145.142.25.160,192.168.1.149,443,40880
248,1554879165.168751,6,1418,145.142.25.160,192.168.1.149,443,40880
249,1554879165.168771,6,433,145.142.25.160,192.168.1.149,443,40880
250,1554879165.171457,6,1418,145.142.25.160,192.168.1.149,443,40880
251,1554879165.17158,6,1418,145.142.25.160,192.168.1.149,443,40880
